generation,best_fitness
0,0.7892817895014235
1,0.7892817895014235
2,0.835211899349483
3,0.8690699513059956
4,0.8889851937445261
5,0.8889851937445261
6,0.8889851937445261
7,0.9596416644214227
8,0.9596416644214227
9,0.9596416644214227
10,0.9596416644214227
11,0.9596416644214227
12,1.009241207665184
13,1.009241207665184
14,1.009241207665184
15,1.009241207665184
16,1.009241207665184
17,1.0416493212804325
18,1.0416493212804325
19,1.0416493212804325
20,1.0416493212804325
21,1.0416493212804325
22,1.0416493212804325
23,1.0416493212804325
24,1.0416493212804325
25,1.094068557977923
26,1.094068557977923
27,1.094068557977923
28,1.094068557977923
29,1.094068557977923
30,1.094068557977923
31,1.094068557977923
32,1.094068557977923
33,1.094068557977923
34,1.094068557977923
35,1.094068557977923
36,1.094068557977923
37,1.1474557061616797
38,1.1474557061616797
39,1.1474557061616797
40,1.1474557061616797
41,1.1474557061616797
42,1.1474557061616797
43,1.156442316395128
44,1.156442316395128
45,1.156442316395128
46,1.156442316395128
47,1.156442316395128
48,1.156442316395128
49,1.156442316395128
50,1.156442316395128
51,1.156442316395128
52,1.156442316395128
53,1.156442316395128
54,1.156442316395128
55,1.156442316395128
56,1.156442316395128
57,1.180227810911402
58,1.180227810911402
59,1.180227810911402
60,1.180227810911402
61,1.180227810911402
62,1.180227810911402
63,1.180227810911402
64,1.236357132910178
65,1.236357132910178
66,1.2593845278018523
67,1.2593845278018523
68,1.2593845278018523
69,1.2593845278018523
70,1.2593845278018523
71,1.2593845278018523
72,1.2593845278018523
73,1.2593845278018523
74,1.2593845278018523
75,1.2867537429482763
76,1.2867537429482763
77,1.2998651869136464
78,1.2998651869136464
79,1.2998651869136464
80,1.2998651869136464
81,1.2998651869136464
82,1.2998651869136464
83,1.2998651869136464
84,1.2998651869136464
85,1.2998651869136464
86,1.2998651869136464
87,1.2998651869136464
88,1.2998651869136464
89,1.2998651869136464
90,1.2998651869136464
91,1.2998651869136464
92,1.2998651869136464
93,1.2998651869136464
94,1.2998651869136464
95,1.2998651869136464
96,1.2998651869136464
97,1.2998651869136464
98,1.2998651869136464
99,1.2998651869136464
100,1.2998651869136464
101,1.2998651869136464
102,1.2998651869136464
103,1.2998651869136464
104,1.2998651869136464
105,1.2998651869136464
106,1.2998651869136464
107,1.2998651869136464
108,1.2998651869136464
109,1.2998651869136464
110,1.2998651869136464
111,1.2998651869136464
112,1.2998651869136464
113,1.2998651869136464
114,1.2998651869136464
115,1.2998651869136464
116,1.2998651869136464
117,1.2998651869136464
118,1.2998651869136464
119,1.2998651869136464
120,1.2998651869136464
121,1.2998651869136464
122,1.2998651869136464
123,1.2998651869136464
124,1.2998651869136464
125,1.2998651869136464
126,1.2998651869136464
127,1.2998651869136464
128,1.2998651869136464
129,1.2998651869136464
130,1.2998651869136464
131,1.2998651869136464
132,1.2998651869136464
133,1.2998651869136464
134,1.2998651869136464
135,1.2998651869136464
136,1.2998651869136464
137,1.2998651869136464
138,1.2998651869136464
139,1.2998651869136464
140,1.2998651869136464
141,1.2998651869136464
142,1.2998651869136464
143,1.2998651869136464
144,1.2998651869136464
145,1.2998651869136464
146,1.2998651869136464
147,1.2998651869136464
148,1.2998651869136464
149,1.2998651869136464
150,1.2998651869136464
151,1.2998651869136464
152,1.2998651869136464
153,1.2998651869136464
154,1.2998651869136464
155,1.2998651869136464
156,1.2998651869136464
157,1.2998651869136464
158,1.2998651869136464
