generation,best_fitness
0,0.5499364413859424
1,0.5499364413859424
2,0.5499364413859424
3,0.5499364413859424
4,0.5499364413859424
5,0.5702932229098943
6,0.600236071645804
7,0.6064576251042311
8,0.6064576251042311
9,0.6064576251042311
10,0.6901478141500401
11,0.6967731421951342
12,0.7670146949338634
13,0.7670146949338634
14,0.7670146949338634
15,0.7670146949338634
16,0.7670146949338634
17,0.7670146949338634
18,0.7670146949338634
19,0.7670146949338634
20,0.7670146949338634
21,0.7670146949338634
22,0.7670146949338634
23,0.7965191812531895
24,0.7965191812531895
25,0.7965191812531895
26,0.7965191812531895
27,0.7965191812531895
28,0.7965191812531895
29,0.8027373230914203
30,0.8027373230914203
31,0.8027373230914203
32,0.8027373230914203
33,0.8090093762736186
34,0.8090093762736186
35,0.8090093762736186
36,0.8090093762736186
37,0.8090093762736186
38,0.8330967082816005
39,0.8330967082816005
40,0.8330967082816005
41,0.8918287088765926
42,0.8918287088765926
43,0.8918287088765926
44,0.8918287088765926
45,0.8918287088765926
46,0.8918287088765926
47,0.8918287088765926
48,0.8918287088765926
49,0.8918287088765926
50,0.8918287088765926
51,0.8918287088765926
52,0.8918287088765926
53,0.8918287088765926
54,0.8918287088765926
55,0.8918287088765926
56,0.8918287088765926
57,0.8918287088765926
58,0.8918287088765926
59,0.8918287088765926
60,0.8918287088765926
61,0.8918287088765926
62,0.8918287088765926
63,0.9580264049193683
64,0.9580264049193683
65,0.9580264049193683
66,0.9580264049193683
67,0.9580264049193683
68,0.9580264049193683
69,0.9580264049193683
70,0.9580264049193683
71,0.9580264049193683
72,0.9580264049193683
73,0.9580264049193683
74,0.9580264049193683
75,0.9781939987520936
76,0.9781939987520936
77,0.9781939987520936
78,0.9781939987520936
79,0.9781939987520936
80,0.9781939987520936
81,0.9781939987520936
82,0.9781939987520936
83,0.9781939987520936
84,0.9781939987520936
85,0.9781939987520936
86,0.9781939987520936
87,0.9781939987520936
88,0.9781939987520936
89,0.9781939987520936
90,0.9781939987520936
91,0.9781939987520936
92,0.9781939987520936
93,0.9781939987520936
94,0.9781939987520936
95,1.0146814680596212
96,1.0146814680596212
97,1.0146814680596212
98,1.0146814680596212
99,1.0146814680596212
100,1.0146814680596212
101,1.0146814680596212
102,1.0146814680596212
103,1.0146814680596212
104,1.0146814680596212
105,1.0146814680596212
106,1.0146814680596212
107,1.0146814680596212
108,1.0146814680596212
109,1.0146814680596212
110,1.0146814680596212
111,1.0146814680596212
112,1.0146814680596212
113,1.0146814680596212
114,1.0146814680596212
115,1.0146814680596212
116,1.0146814680596212
117,1.0146814680596212
118,1.0146814680596212
119,1.1259733054535879
120,1.1259733054535879
121,1.1259733054535879
122,1.1259733054535879
123,1.1259733054535879
124,1.1259733054535879
125,1.1259733054535879
126,1.1259733054535879
127,1.1259733054535879
128,1.1259733054535879
129,1.1259733054535879
130,1.1259733054535879
131,1.1259733054535879
132,1.1259733054535879
133,1.1259733054535879
134,1.1259733054535879
135,1.1259733054535879
136,1.1259733054535879
137,1.1259733054535879
138,1.1259733054535879
139,1.1259733054535879
140,1.1259733054535879
141,1.1259733054535879
142,1.1259733054535879
143,1.1259733054535879
144,1.1259733054535879
145,1.1259733054535879
146,1.1259733054535879
147,1.1259733054535879
148,1.1259733054535879
149,1.1259733054535879
150,1.1259733054535879
151,1.1259733054535879
152,1.1259733054535879
153,1.1259733054535879
154,1.1259733054535879
155,1.1259733054535879
156,1.1259733054535879
157,1.1259733054535879
158,1.1259733054535879
159,1.1259733054535879
160,1.1259733054535879
161,1.1259733054535879
162,1.1259733054535879
163,1.1259733054535879
164,1.1259733054535879
165,1.1259733054535879
166,1.1259733054535879
167,1.1259733054535879
168,1.1259733054535879
169,1.1259733054535879
170,1.1259733054535879
171,1.1259733054535879
172,1.1259733054535879
173,1.1259733054535879
174,1.1259733054535879
175,1.1259733054535879
176,1.1259733054535879
177,1.1259733054535879
178,1.1259733054535879
179,1.1259733054535879
180,1.1259733054535879
181,1.1259733054535879
182,1.1259733054535879
183,1.1259733054535879
184,1.1259733054535879
185,1.1259733054535879
186,1.1259733054535879
187,1.1259733054535879
188,1.1259733054535879
189,1.1259733054535879
190,1.1259733054535879
191,1.1259733054535879
192,1.1259733054535879
193,1.1259733054535879
194,1.1259733054535879
195,1.1259733054535879
196,1.1259733054535879
197,1.1259733054535879
198,1.1259733054535879
199,1.1259733054535879
200,1.1259733054535879
201,1.1259733054535879
202,1.1259733054535879
203,1.1259733054535879
204,1.1259733054535879
205,1.1259733054535879
206,1.1259733054535879
207,1.1259733054535879
208,1.1259733054535879
209,1.1259733054535879
210,1.1259733054535879
211,1.1259733054535879
212,1.1259733054535879
213,1.1259733054535879
214,1.1259733054535879
215,1.1259733054535879
216,1.1259733054535879
217,1.1259733054535879
218,1.1259733054535879
219,1.1259733054535879
220,1.1259733054535879
221,1.1259733054535879
222,1.1259733054535879
223,1.1259733054535879
224,1.1259733054535879
225,1.1259733054535879
226,1.1259733054535879
227,1.1259733054535879
228,1.1259733054535879
229,1.1259733054535879
230,1.1259733054535879
231,1.1259733054535879
232,1.1259733054535879
233,1.1259733054535879
234,1.1259733054535879
235,1.1259733054535879
236,1.1259733054535879
237,1.1259733054535879
238,1.1259733054535879
239,1.1259733054535879
240,1.1259733054535879
241,1.1259733054535879
242,1.1259733054535879
243,1.1259733054535879
244,1.1259733054535879
245,1.1259733054535879
246,1.1259733054535879
247,1.1259733054535879
248,1.1259733054535879
249,1.1259733054535879
250,1.1259733054535879
251,1.1259733054535879
252,1.1259733054535879
253,1.1296240352080908
254,1.148988040774257
255,1.148988040774257
256,1.148988040774257
257,1.148988040774257
258,1.148988040774257
259,1.148988040774257
260,1.148988040774257
261,1.148988040774257
262,1.148988040774257
263,1.148988040774257
264,1.148988040774257
265,1.148988040774257
266,1.148988040774257
267,1.148988040774257
268,1.148988040774257
269,1.148988040774257
270,1.148988040774257
271,1.148988040774257
272,1.148988040774257
273,1.148988040774257
274,1.148988040774257
275,1.148988040774257
276,1.148988040774257
277,1.148988040774257
278,1.148988040774257
279,1.148988040774257
280,1.148988040774257
281,1.148988040774257
282,1.148988040774257
283,1.148988040774257
284,1.148988040774257
285,1.148988040774257
286,1.148988040774257
287,1.148988040774257
288,1.148988040774257
289,1.148988040774257
290,1.148988040774257
291,1.148988040774257
292,1.148988040774257
293,1.148988040774257
294,1.148988040774257
295,1.148988040774257
296,1.148988040774257
297,1.148988040774257
298,1.148988040774257
299,1.148988040774257
