generation,best_fitness
0,0.3590915869159397
1,0.37989610117358175
2,0.43719135192590297
3,0.5842919873452697
4,0.5842919873452697
5,0.6563012341942172
6,0.6563012341942172
7,0.6856822929765747
8,0.6856822929765747
9,0.6856822929765747
10,0.6856822929765747
11,0.6856822929765747
12,0.6856822929765747
13,0.6856822929765747
14,0.6856822929765747
15,0.6856822929765747
16,0.6856822929765747
17,0.6919532463062565
18,0.6919532463062565
19,0.736384961317524
20,0.736384961317524
21,0.736384961317524
22,0.736384961317524
23,0.736384961317524
24,0.736384961317524
25,0.7711663537904132
26,0.7711663537904132
27,0.7711663537904132
28,0.7711663537904132
29,0.7711663537904132
30,0.7711663537904132
31,0.7711663537904132
32,0.7711663537904132
33,0.7711663537904132
34,0.7711663537904132
35,0.7711663537904132
36,0.7711663537904132
37,0.7711663537904132
38,0.7711663537904132
39,0.7711663537904132
40,0.7711663537904132
41,0.7711663537904132
42,0.7711663537904132
43,0.7711663537904132
44,0.7711663537904132
45,0.7790750146061216
46,0.7790750146061216
47,0.7790750146061216
48,0.7812597931011527
49,0.7812597931011527
50,0.7812597931011527
51,0.7812597931011527
52,0.7812597931011527
53,0.7812597931011527
54,0.7812597931011527
55,0.7812597931011527
56,0.7812597931011527
57,0.7812597931011527
58,0.7812597931011527
59,0.7812597931011527
60,0.7870832437961397
61,0.7870832437961397
62,0.7870832437961397
63,0.7870832437961397
64,0.7870832437961397
65,0.7870832437961397
66,0.7870832437961397
67,0.7870832437961397
68,0.7870832437961397
69,0.7870832437961397
70,0.7870832437961397
71,0.7870832437961397
72,0.7870832437961397
73,0.7870832437961397
74,0.7870832437961397
75,0.7870832437961397
76,0.7870832437961397
77,0.7870832437961397
78,0.7870832437961397
79,0.7870832437961397
80,0.7870832437961397
81,0.7870832437961397
82,0.7870832437961397
83,0.7870832437961397
84,0.8110895503013651
85,0.8110895503013651
86,0.8110895503013651
87,0.8110895503013651
88,0.8110895503013651
89,0.8110895503013651
90,0.8110895503013651
91,0.8110895503013651
92,0.8135581046112639
93,0.8135581046112639
94,0.8135581046112639
95,0.8135581046112639
96,0.8135581046112639
97,0.8135581046112639
98,0.8135581046112639
99,0.8135581046112639
100,0.8135581046112639
101,0.8135581046112639
102,0.8135581046112639
103,0.8135581046112639
104,0.8135581046112639
105,0.8135581046112639
106,0.8135581046112639
107,0.8135581046112639
108,0.8135581046112639
